version,value,5.2.1,5.2.1,5.2.1,5.2.1,5.2.1,5.2.1
v[1][2],value,-1.416578e-02,-1.416578e-02,-1.545182e-01,6.274420e-04,-3.755147e-03,-5.679529e-03
v[1][2],std_dev,5.145901e-03,5.145901e-03,5.991969e-03,5.094676e-03,6.338399e-03,4.964687e-03
v[2][0],units,L,L,L,L,L,L
v[2][0],value,-1.455616e-01,-1.455616e-01,-5.932094e-03,1.112889e-02,3.668606e-03,7.096528e-03
v[2][0],std_dev,6.037286e-03,6.037286e-03,5.122206e-03,5.114058e-03,6.264480e-03,1.070381e-02
v[2][1],units,L,L,L,L,L,L
v[2][1],value,1.472931e-03,1.472931e-03,2.059276e-03,-1.564022e-01,-1.866884e-03,9.278900e-04
v[2][1],std_dev,5.076752e-03,5.076752e-03,5.130386e-03,6.027682e-03,6.238463e-03,5.016972e-03
v[2][2],units,L,L,L,L,L,L
v[2][2],value,-1.416578e-02,-1.416578e-02,-1.545182e-01,6.274420e-04,-3.755147e-03,-5.679529e-03
v[2][2],std_dev,4.919114e-03,4.919114e-03,5.703230e-03,4.865350e-03,5.759723e-03,4.842144e-03
w[0][0],units,L,L,L,L,L,L
w[0][0],value,2.599684e-01,2.599684e-01,2.174644e-01,2.074556e-01,3.267908e-01,3.940021e-01
w[0][0],std_dev,5.750757e-03,5.750757e-03,4.885923e-03,4.899134e-03,5.738544e-03,1.033506e-02
w[0][1],units,L,L,L,L,L,L
w[0][1],value,2.184439e-03,2.184439e-03,-2.410588e-03,-7.944712e-03,2.719985e-03,-2.012580e-03
w[0][1],std_dev,5.076902e-03,5.076902e-03,5.130406e-03,6.027425e-03,6.238688e-03,5.017049e-03
w[0][2],units,L,L,L,L,L,L
w[0][2],value,-6.440559e-03,-6.440559e-03,-1.717991e-02,-2.926626e-03,7.827184e-03,-4.973596e-03
w[0][2],std_dev,5.145708e-03,5.145708e-03,5.990795e-03,5.094641e-03,6.338729e-03,4.964636e-03
w[1][0],units,L,L,L,L,L,L
w[1][0],value,-3.877187e-03,-3.877187e-03,-4.827507e-03,-1.691543e-03,-1.102195e-03,-2.927978e-03
w[1][0],std_dev,6.037381e-03,6.037381e-03,5.122094e-03,5.114047e-03,6.265033e-03,1.070401e-02
w[1][1],units,L,L,L,L,L,L
w[1][1],value,2.119263e-01,2.119263e-01,2.241784e-01,2.599038e-01,3.286365e-01,1.553858e-01
w[1][1],std_dev,4.850702e-03,4.850702e-03,4.879376e-03,5.740659e-03,5.703530e-03,4.895265e-03
w[1][2],units,L,L,L,L,L,L
w[1][2],value,-1.372316e-03,-1.372316e-03,-3.716425e-03,-1.159245e-03,1.148752e-02,3.816800e-03
w[1][2],std_dev,5.145901e-03,5.145901e-03,5.991969e-03,5.094676e-03,6.338399e-03,4.964687e-03
w[2][0],units,L,L,L,L,L,L
w[2][0],value,-6.155493e-03,-6.155493e-03,5.961037e-04,-7.992096e-04,-1.087003e-02,-9.543203e-03
w[2][0],std_dev,6.037286e-03,6.037286e-03,5.122206e-03,5.114058e-03,6.264480e-03,1.070381e-02
w[2][1],units,L,L,L,L,L,L
w[2][1],value,5.940851e-03,5.940851e-03,3.156929e-03,-9.769495e-04,7.397127e-03,-4.400710e-03
w[2][1],std_dev,5.076752e-03,5.076752e-03,5.130386e-03,6.027682e-03,6.238463e-03,5.016972e-03
w[2][2],units,L,L,L,L,L,L
w[2][2],value,2.136577e-01,2.136577e-01,2.598929e-01,2.137259e-01,3.441411e-01,1.550721e-01
w[2][2],std_dev,4.919114e-03,4.919114e-03,5.703230e-03,4.865350e-03,5.759723e-03,4.842144e-03
interior_hits,units,1,1,1,1,1,1
interior_hits,value,5.256000e+03,5.256000e+03,5.194000e+03,5.200000e+03,1.000000e+04,2.483000e+03
interior_hits,std_dev,4.993692e+01,4.993692e+01,4.996485e+01,4.996248e+01,0.000000e+00,4.320483e+01
initialize_time,units,s,s,s,s,s,s
initialize_time,value,8.238819e-03,8.982156e-03,8.969093e-03,8.171587e-03,7.384660e-03,8.176026e-03
read_time,units,s,s,s,s,s,s
read_time,value,2.956301e-03,2.956301e-03,2.956301e-03,2.956301e-03,2.956301e-03,2.956301e-03
broadcast_time,units,s,s,s,s,s,s
broadcast_time,value,4.885000e-06,4.885000e-06,4.885000e-06,4.885000e-06,4.885000e-06,4.885000e-06
preprocess_time,units,s,s,s,s,s,s
preprocess_time,value,7.208300e-05,1.595900e-05,1.496000e-05,1.743700e-05,9.699000e-06,1.215700e-05
exterior_walk_time,units,s,s,s,s,s,s
exterior_walk_time,value,6.603959e-01,6.020439e-01,6.104680e-01,6.713118e-01,1.143199e-01,6.003710e-01
exterior_reduce_time,units,s,s,s,s,s,s
exterior_reduce_time,value,2.871400e-05,1.474500e-05,1.497400e-05,2.144400e-05,9.945000e-06,1.299100e-05
volume_sample_time,units,s,s,s,s,s,s
volume_sample_time,value,2.828705e-02,2.986680e-02,2.727723e-02,2.923092e-02,3.086941e-02,2.956377e-02
volume_reduce_time,units,s,s,s,s,s,s
volume_reduce_time,value,1.025100e-05,6.658000e-06,7.501000e-06,5.054000e-06,7.758000e-06,8.173000e-06
total_time,units,s,s,s,s,s,s
total_time,value,8.574306e-01,8.032359e-01,8.086709e-01,8.558140e-01,3.025695e-01,7.947996e-01
comment,value,Two spheres 1 and 1/4 with numeric labels,Two spheres 1 and 1/4 with alphabetic labels,Two spheres 1 and 1/4 with mixed labels,Three spheres 1 and 1/4 with mixed labels plus one hidden inside,Single sphere of radius 1 of center,Two spheres both 1 with mixed labels
