version,value,5.2.1,5.2.1,5.2.1,5.2.1,5.2.1,5.2.1
initialization_ram,units,kB,kB,kB,kB,kB,kB
initialization_ram,value,13124 ,13124 ,13124 ,13124 ,13124 ,13124 
loading_input_data_ram,units,kB,kB,kB,kB,kB,kB
loading_input_data_ram,value,13124 ,13124 ,13124 ,13124 ,13124 ,13124 
building_spatial_data_structure_ram,units,kB,kB,kB,kB,kB,kB
building_spatial_data_structure_ram,value,13124 ,14472 ,14472 ,14472 ,14472 ,14664 
walk_on_spheres_ram,units,kB,kB,kB,kB,kB,kB
walk_on_spheres_ram,value,14472 ,14472 ,14472 ,14472 ,14664 ,14664 
interior_samples_ram,units,kB,kB,kB,kB,kB,kB
interior_samples_ram,value,14472 ,14472 ,14472 ,14472 ,14664 ,14664 
input_file,value,/home/dcj/Projects/zeno/cpp/zeno-cli/src/SelfTests/Input/trajectory.bod,/home/dcj/Projects/zeno/cpp/zeno-cli/src/SelfTests/Input/trajectory.bod,/home/dcj/Projects/zeno/cpp/zeno-cli/src/SelfTests/Input/trajectory.bod,/home/dcj/Projects/zeno/cpp/zeno-cli/src/SelfTests/Input/trajectory.bod,/home/dcj/Projects/zeno/cpp/zeno-cli/src/SelfTests/Input/trajectory.bod,/home/dcj/Projects/zeno/cpp/zeno-cli/src/SelfTests/Input/trajectory.bod
num_nodes,value,1,1,1,1,1,1
num_threads,value,1,1,1,1,1,1
random_number_seed,value,0,0,0,0,0,0
num_walks_requested,value,10000,10000,10000,10000,10000,10000
num_interior_samples_requested,value,10000,10000,10000,10000,10000,10000
max_error_capacitance_requested,units,%,%,%,%,%,%
max_error_capacitance_requested,value,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
max_error_mean_polarizability_requested,units,%,%,%,%,%,%
max_error_mean_polarizability_requested,value,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
max_error_volume_requested,units,%,%,%,%,%,%
max_error_volume_requested,value,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
skin_thickness,value,1.250000e-06,1.250000e-06,1.250000e-06,1.250000e-06,1.000000e-06,2.000000e-06
launch_center[0],value,-7.500000e-01,2.500000e-01,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00
launch_center[1],value,0.000000e+00,0.000000e+00,0.000000e+00,2.500000e-01,1.000000e+00,0.000000e+00
launch_center[2],value,0.000000e+00,0.000000e+00,-7.500000e-01,0.000000e+00,1.000000e+00,0.000000e+00
launch_radius,value,1.250002e+00,1.250002e+00,1.250002e+00,1.250002e+00,1.000002e+00,2.000004e+00
length_scale,units,L,L,L,L,L,L
length_scale,value,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
num_walks_performed,units,1,1,1,1,1,1
num_walks_performed,value,10000,10000,10000,10000,8450,10000
num_interior_samples_performed,units,1,1,1,1,1,1
num_interior_samples_performed,value,10000,10000,10000,10000,10000,10000
capacitance,units,L,L,L,L,L,L
capacitance,value,1.024502e+00,1.024502e+00,1.021877e+00,1.018002e+00,1.000002e+00,1.389403e+00
capacitance,std_dev,4.806753e-03,4.806753e-03,4.828452e-03,4.860047e-03,0.000000e+00,9.211166e-03
electric_polarizability[0][0],units,L^3,L^3,L^3,L^3,L^3,L^3
electric_polarizability[0][0],value,1.500589e+01,1.500589e+01,1.281348e+01,1.220410e+01,1.232134e+01,5.940865e+01
electric_polarizability[0][0],std_dev,3.453336e-01,3.453336e-01,2.877737e-01,2.884718e-01,2.163655e-01,1.558519e+00
electric_polarizability[0][1],units,L^3,L^3,L^3,L^3,L^3,L^3
electric_polarizability[0][1],value,-2.737642e-02,-2.737642e-02,-2.126504e-01,-1.562789e-01,2.998039e-02,-3.698796e-01
electric_polarizability[0][1],std_dev,2.349588e-01,2.349588e-01,2.135138e-01,2.358448e-01,1.666531e-01,8.913096e-01
electric_polarizability[0][2],units,L^3,L^3,L^3,L^3,L^3,L^3
electric_polarizability[0][2],value,-4.183829e-01,-4.183829e-01,-4.476329e-01,-1.066474e-01,-5.729332e-02,-1.088953e+00
electric_polarizability[0][2],std_dev,2.363033e-01,2.363033e-01,2.350698e-01,2.125799e-01,1.679486e-01,8.896776e-01
electric_polarizability[1][0],units,L^3,L^3,L^3,L^3,L^3,L^3
electric_polarizability[1][0],value,-2.737642e-02,-2.737642e-02,-2.126504e-01,-1.562789e-01,2.998039e-02,-3.698796e-01
electric_polarizability[1][0],std_dev,2.349588e-01,2.349588e-01,2.135138e-01,2.358448e-01,1.666531e-01,8.913096e-01
electric_polarizability[1][1],units,L^3,L^3,L^3,L^3,L^3,L^3
electric_polarizability[1][1],value,1.248311e+01,1.248311e+01,1.320444e+01,1.490467e+01,1.238947e+01,2.343251e+01
electric_polarizability[1][1],std_dev,2.857104e-01,2.857104e-01,2.874370e-01,3.459790e-01,2.150203e-01,7.381953e-01
electric_polarizability[1][2],units,L^3,L^3,L^3,L^3,L^3,L^3
electric_polarizability[1][2],value,1.369194e-01,1.369194e-01,1.678806e-02,-1.118789e-01,3.556444e-01,-4.599699e-02
electric_polarizability[1][2],std_dev,2.129374e-01,2.129374e-01,2.352895e-01,2.354969e-01,1.676352e-01,5.321796e-01
electric_polarizability[2][0],units,L^3,L^3,L^3,L^3,L^3,L^3
electric_polarizability[2][0],value,-4.183829e-01,-4.183829e-01,-4.476329e-01,-1.066474e-01,-5.729332e-02,-1.088953e+00
electric_polarizability[2][0],std_dev,2.363033e-01,2.363033e-01,2.350698e-01,2.125799e-01,1.679486e-01,8.896776e-01
electric_polarizability[2][1],units,L^3,L^3,L^3,L^3,L^3,L^3
electric_polarizability[2][1],value,1.369194e-01,1.369194e-01,1.678806e-02,-1.118789e-01,3.556444e-01,-4.599699e-02
electric_polarizability[2][1],std_dev,2.129374e-01,2.129374e-01,2.352895e-01,2.354969e-01,1.676352e-01,5.321796e-01
electric_polarizability[2][2],units,L^3,L^3,L^3,L^3,L^3,L^3
electric_polarizability[2][2],value,1.257922e+01,1.257922e+01,1.491154e+01,1.258995e+01,1.297209e+01,2.337911e+01
electric_polarizability[2][2],std_dev,2.898470e-01,2.898470e-01,3.433436e-01,2.866041e-01,2.171583e-01,7.302019e-01
electric_polarizability_eigenvalues[0],units,L^3,L^3,L^3,L^3,L^3,L^3
electric_polarizability_eigenvalues[0],value,1.236445e+01,1.236445e+01,1.264647e+01,1.216480e+01,1.219899e+01,2.331701e+01
electric_polarizability_eigenvalues[0],std_dev,2.951411e-01,2.951411e-01,2.938280e-01,2.903247e-01,2.258440e-01,7.393786e-01
electric_polarizability_eigenvalues[1],units,L^3,L^3,L^3,L^3,L^3,L^3
electric_polarizability_eigenvalues[1],value,1.262682e+01,1.262682e+01,1.327798e+01,1.261543e+01,1.234156e+01,2.345796e+01
electric_polarizability_eigenvalues[1],std_dev,2.963230e-01,2.963230e-01,2.913481e-01,2.885273e-01,2.217610e-01,7.426624e-01
electric_polarizability_eigenvalues[2],units,L^3,L^3,L^3,L^3,L^3,L^3
electric_polarizability_eigenvalues[2],value,1.507695e+01,1.507695e+01,1.500501e+01,1.491848e+01,1.314236e+01,5.944530e+01
electric_polarizability_eigenvalues[2],std_dev,3.444528e-01,3.444528e-01,3.422415e-01,3.459244e-01,2.232489e-01,1.557970e+00
mean_electric_polarizability,units,L^3,L^3,L^3,L^3,L^3,L^3
mean_electric_polarizability,value,1.335607e+01,1.335607e+01,1.364315e+01,1.323290e+01,1.256097e+01,3.540676e+01
mean_electric_polarizability,std_dev,1.779192e-01,1.779192e-01,1.774256e-01,1.779699e-01,1.248134e-01,6.242426e-01
hydrodynamic_radius,units,L,L,L,L,L,L
hydrodynamic_radius,value,1.024502e+00,1.024502e+00,1.021877e+00,1.018002e+00,1.000002e+00,1.389403e+00
hydrodynamic_radius,std_dev,1.131660e-02,1.131660e-02,1.130209e-02,1.128064e-02,1.000002e-02,1.667002e-02
intrinsic_viscosity_prefactor,units,1,1,1,1,1,1
intrinsic_viscosity_prefactor,value,8.327912e-01,8.327912e-01,8.330607e-01,8.328186e-01,8.332956e-01,8.206083e-01
intrinsic_viscosity_prefactor,std_dev,1.249187e-02,1.249187e-02,1.249591e-02,1.249228e-02,1.249943e-02,1.230912e-02
viscometric_radius,units,L,L,L,L,L,L
viscometric_radius,value,1.020302e+00,1.020302e+00,1.027671e+00,1.017167e+00,9.998416e-01,1.405177e+00
viscometric_radius,std_dev,6.822854e-03,6.822854e-03,6.800627e-03,6.830747e-03,5.996607e-03,1.084243e-02
volume,units,L^3,L^3,L^3,L^3,L^3,L^3
volume,value,4.300055e+00,4.300055e+00,4.249331e+00,4.254240e+00,4.188790e+00,8.320613e+00
volume,std_dev,4.085455e-02,4.085455e-02,4.087740e-02,4.087546e-02,0.000000e+00,1.447808e-01
capacitance_sphere_same_volume,units,L,L,L,L,L,L
capacitance_sphere_same_volume,value,1.008777e+00,1.008777e+00,1.004795e+00,1.005181e+00,1.000000e+00,1.257059e+00
capacitance_sphere_same_volume,std_dev,3.194775e-03,3.194775e-03,3.221949e-03,3.219318e-03,0.000000e+00,7.291048e-03
gyration[0][0],units,L^2,L^2,L^2,L^2,L^2,L^2
gyration[0][0],value,2.162803e-01,2.162803e-01,1.919909e-01,1.925768e-01,1.980647e-01,1.186498e+00
gyration[0][0],std_dev,2.881174e-02,4.799569e-03,3.925243e-03,3.934473e-03,1.275850e-02,7.978887e-02
gyration[0][1],units,L^2,L^2,L^2,L^2,L^2,L^2
gyration[0][1],value,4.393772e-03,4.393772e-03,7.887209e-03,3.620546e-03,1.183541e-03,1.228974e-02
gyration[0][1],std_dev,8.990359e-03,2.336239e-03,2.310907e-03,2.365565e-03,9.116231e-03,1.556638e-02
gyration[0][2],units,L^2,L^2,L^2,L^2,L^2,L^2
gyration[0][2],value,-5.847416e-03,-5.847416e-03,-4.682038e-03,-2.601058e-03,-2.775241e-03,-3.784273e-02
gyration[0][2],std_dev,8.855827e-03,2.303868e-03,8.822308e-03,2.324309e-03,9.029940e-03,1.537646e-02
gyration[1][0],units,L^2,L^2,L^2,L^2,L^2,L^2
gyration[1][0],value,4.393772e-03,4.393772e-03,7.887209e-03,3.620546e-03,1.183541e-03,1.228974e-02
gyration[1][0],std_dev,8.990359e-03,2.336239e-03,2.310907e-03,2.365565e-03,9.116231e-03,1.556638e-02
gyration[1][1],units,L^2,L^2,L^2,L^2,L^2,L^2
gyration[1][1],value,2.020832e-01,2.020832e-01,2.011711e-01,2.242905e-01,2.028519e-01,2.055156e-01
gyration[1][1],std_dev,4.041451e-03,4.041451e-03,4.059689e-03,4.915019e-03,1.293547e-02,6.703954e-03
gyration[1][2],units,L^2,L^2,L^2,L^2,L^2,L^2
gyration[1][2],value,2.059187e-03,2.059187e-03,4.285871e-03,2.356053e-03,1.136746e-03,-2.856421e-03
gyration[1][2],std_dev,2.333692e-03,2.333692e-03,9.021940e-03,2.345396e-03,9.122546e-03,3.383259e-03
gyration[2][0],units,L^2,L^2,L^2,L^2,L^2,L^2
gyration[2][0],value,-5.847416e-03,-5.847416e-03,-4.682038e-03,-2.601058e-03,-2.775241e-03,-3.784273e-02
gyration[2][0],std_dev,8.855827e-03,2.303868e-03,8.822308e-03,2.324309e-03,9.029940e-03,1.537646e-02
gyration[2][1],units,L^2,L^2,L^2,L^2,L^2,L^2
gyration[2][1],value,2.059187e-03,2.059187e-03,4.285871e-03,2.356053e-03,1.136746e-03,-2.856421e-03
gyration[2][1],std_dev,2.333692e-03,2.333692e-03,9.021940e-03,2.345396e-03,9.122546e-03,3.383259e-03
gyration[2][2],units,L^2,L^2,L^2,L^2,L^2,L^2
gyration[2][2],value,1.974070e-01,1.974070e-01,2.169221e-01,1.981121e-01,1.979314e-01,1.985375e-01
gyration[2][2],std_dev,3.973877e-03,3.973877e-03,2.910268e-02,3.999075e-03,1.277461e-02,6.513084e-03
gyration_eigenvalues[0],units,L^2,L^2,L^2,L^2,L^2,L^2
gyration_eigenvalues[0],value,1.943313e-01,1.943313e-01,1.862020e-01,1.910063e-01,1.948843e-01,1.964518e-01
gyration_eigenvalues[0],std_dev,6.743088e-03,3.890443e-03,5.112234e-03,3.889575e-03,1.395538e-02,6.477834e-03
gyration_eigenvalues[1],units,L^2,L^2,L^2,L^2,L^2,L^2
gyration_eigenvalues[1],value,2.026686e-01,2.026686e-01,2.055651e-01,1.991159e-01,2.007730e-01,2.059976e-01
gyration_eigenvalues[1],std_dev,4.252191e-03,3.968155e-03,4.300848e-03,3.950651e-03,9.174671e-03,6.644837e-03
gyration_eigenvalues[2],units,L^2,L^2,L^2,L^2,L^2,L^2
gyration_eigenvalues[2],value,2.187705e-01,2.187705e-01,2.183171e-01,2.248572e-01,2.031907e-01,1.188102e+00
gyration_eigenvalues[2],std_dev,2.629495e-02,4.641446e-03,2.787755e-02,4.887277e-03,1.468978e-02,7.969293e-02
intrinsic_conductivity,units,1,1,1,1,1,1
intrinsic_conductivity,value,3.106024e+00,3.106024e+00,3.210659e+00,3.110521e+00,2.998710e+00,4.255306e+00
intrinsic_conductivity,std_dev,5.082149e-02,5.082149e-02,5.193554e-02,5.141248e-02,2.979701e-02,1.054086e-01
intrinsic_viscosity,units,1,1,1,1,1,1
intrinsic_viscosity,value,2.586670e+00,2.586670e+00,2.674674e+00,2.590500e+00,2.498812e+00,3.491940e+00
intrinsic_viscosity,std_dev,5.741723e-02,5.741723e-02,5.900443e-02,5.782062e-02,4.496031e-02,1.011221e-01
t,units,1,1,1,1,1,1
t,value,8.196000e-01,8.196000e-01,8.175000e-01,8.144000e-01,1.000000e+00,6.947000e-01
t,std_dev,3.845395e-03,3.845395e-03,3.862754e-03,3.888030e-03,0.000000e+00,4.605574e-03
u[0],units,1,1,1,1,1,1
u[0],value,-2.940000e-02,-2.940000e-02,8.700000e-03,2.000000e-02,-1.136095e-02,3.700000e-03
u[0],std_dev,6.952295e-03,6.952295e-03,6.952391e-03,6.947119e-03,7.692266e-03,6.733754e-03
u[1],units,1,1,1,1,1,1
u[1],value,4.000000e-03,4.000000e-03,5.500000e-03,-3.580000e-02,1.656805e-03,-3.900000e-03
u[1],std_dev,6.955345e-03,6.955345e-03,6.952554e-03,6.943945e-03,7.692752e-03,6.733749e-03
u[2],units,1,1,1,1,1,1
u[2],value,-6.200000e-03,-6.200000e-03,-3.570000e-02,-8.800000e-03,-1.254438e-02,-4.300000e-03
u[2],std_dev,6.955265e-03,6.955265e-03,6.948078e-03,6.948279e-03,7.692158e-03,6.733736e-03
v[0][0],units,L,L,L,L,L,L
v[0][0],value,-1.455616e-01,-1.455616e-01,-5.932094e-03,1.112889e-02,3.668606e-03,7.096528e-03
v[0][0],std_dev,5.750757e-03,5.750757e-03,4.885923e-03,4.899134e-03,5.738544e-03,1.033506e-02
v[0][1],units,L,L,L,L,L,L
v[0][1],value,1.472931e-03,1.472931e-03,2.059276e-03,-1.564022e-01,-1.866884e-03,9.278900e-04
v[0][1],std_dev,5.076902e-03,5.076902e-03,5.130406e-03,6.027425e-03,6.238688e-03,5.017049e-03
v[0][2],units,L,L,L,L,L,L
v[0][2],value,-1.416578e-02,-1.416578e-02,-1.545182e-01,6.274420e-04,-3.755147e-03,-5.679529e-03
v[0][2],std_dev,5.145708e-03,5.145708e-03,5.990795e-03,5.094641e-03,6.338729e-03,4.964636e-03
v[1][0],units,L,L,L,L,L,L
v[1][0],value,-1.455616e-01,-1.455616e-01,-5.932094e-03,1.112889e-02,3.668606e-03,7.096528e-03
v[1][0],std_dev,6.037381e-03,6.037381e-03,5.122094e-03,5.114047e-03,6.265033e-03,1.070401e-02
v[1][1],units,L,L,L,L,L,L
v[1][1],value,1.472931e-03,1.472931e-03,2.059276e-03,-1.564022e-01,-1.866884e-03,9.278900e-04
v[1][1],std_dev,4.850702e-03,4.850702e-03,4.879376e-03,5.740659e-03,5.703530e-03,4.895265e-03
v[1][2],units,L,L,L,L,L,L
